nth vaddr      bind type lib          name
86  0x00455a20 NONE FUNC cw3230mt.DLL @string@rfind$xqrx6stringui
87  0x00455a24 NONE FUNC cw3230mt.DLL @string@remove$quiui
88  0x00455a28 NONE FUNC cw3230mt.DLL _pow
89  0x00455a2c NONE FUNC cw3230mt.DLL @string@substr$xquiui
90  0x00455a30 NONE FUNC cw3230mt.DLL @string@to_lower$qv
91  0x00455a34 NONE FUNC cw3230mt.DLL __ErrorExit
1   0x00455a3c NONE FUNC KERNEL32.dll GetPrivateProfileIntA
2   0x00455a40 NONE FUNC KERNEL32.dll LockResource
3   0x00455a44 NONE FUNC KERNEL32.dll GetFullPathNameA
4   0x00455a48 NONE FUNC KERNEL32.dll TlsSetValue
5   0x00455a4c NONE FUNC KERNEL32.dll lstrcmpA
6   0x00455a50 NONE FUNC KERNEL32.dll TlsAlloc
7   0x00455a54 NONE FUNC KERNEL32.dll GetModuleFileNameA
8   0x00455a58 NONE FUNC KERNEL32.dll GetSystemDefaultLangID
9   0x00455a5c NONE FUNC KERNEL32.dll MulDiv
10  0x00455a60 NONE FUNC KERNEL32.dll TlsFree
11  0x00455a64 NONE FUNC KERNEL32.dll lstrcmpiA
12  0x00455a68 NONE FUNC KERNEL32.dll lstrcpyA
13  0x00455a6c NONE FUNC KERNEL32.dll TlsGetValue
14  0x00455a70 NONE FUNC KERNEL32.dll Sleep
15  0x00455a74 NONE FUNC KERNEL32.dll SetCurrentDirectoryA
16  0x00455a78 NONE FUNC KERNEL32.dll LocalAlloc
17  0x00455a7c NONE FUNC KERNEL32.dll LoadResource
18  0x00455a80 NONE FUNC KERNEL32.dll GetVolumeInformationA
19  0x00455a84 NONE FUNC KERNEL32.dll GetUserDefaultLangID
20  0x00455a88 NONE FUNC KERNEL32.dll GetSystemTime
21  0x00455a8c NONE FUNC KERNEL32.dll GetModuleHandleA
22  0x00455a90 NONE FUNC KERNEL32.dll GetFileAttributesA
23  0x00455a94 NONE FUNC KERNEL32.dll GetDriveTypeA
